scenario,load_level,f_line,f_location,f_duration,iter_time
scenario_0187,0.5,Line 06 - 07.ElmLne,20,0.15,1.6678810000012163
scenario_0188,0.5,Line 06 - 07.ElmLne,20,0.18,1.7526075999994646
scenario_0189,0.5,Line 06 - 07.ElmLne,20,0.2,1.7590729999938048
scenario_0190,0.5,Line 06 - 07.ElmLne,20,0.25,1.7542452000052435
scenario_0191,0.5,Line 06 - 07.ElmLne,50,0.1,1.6743352999983472
scenario_0192,0.5,Line 06 - 07.ElmLne,50,0.15,1.715653499995824
scenario_0193,0.5,Line 06 - 07.ElmLne,50,0.18,1.6860025999994832
scenario_0194,0.5,Line 06 - 07.ElmLne,50,0.2,1.7213623999996344
scenario_0195,0.5,Line 06 - 07.ElmLne,50,0.25,1.7368504999976722
scenario_0196,0.5,Line 06 - 07.ElmLne,80,0.1,1.668546000000788
scenario_0197,0.5,Line 06 - 07.ElmLne,80,0.15,1.7326438999953098
scenario_0198,0.5,Line 06 - 07.ElmLne,80,0.18,1.7071209000059753
scenario_0199,0.5,Line 06 - 07.ElmLne,80,0.2,1.6949657000004663
scenario_0200,0.5,Line 06 - 07.ElmLne,80,0.25,1.7962002999993274
scenario_0201,0.5,Line 06 - 11.ElmLne,0,0.1,1.6891927999968175
scenario_0202,0.5,Line 06 - 11.ElmLne,0,0.15,1.7124827000006917
scenario_0203,0.5,Line 06 - 11.ElmLne,0,0.18,1.7514303999996628
scenario_0204,0.5,Line 06 - 11.ElmLne,0,0.2,1.714673499998753
scenario_0205,0.5,Line 06 - 11.ElmLne,0,0.25,3.0928662000005716
scenario_0206,0.5,Line 06 - 11.ElmLne,20,0.1,1.690679100000125
scenario_0207,0.5,Line 06 - 11.ElmLne,20,0.15,1.694599800001015
scenario_0208,0.5,Line 06 - 11.ElmLne,20,0.18,1.7133048999967286
scenario_0209,0.5,Line 06 - 11.ElmLne,20,0.2,1.6968502000017907
scenario_0210,0.5,Line 06 - 11.ElmLne,20,0.25,3.0684757999988506
scenario_0211,0.5,Line 06 - 11.ElmLne,50,0.1,1.6845761000004131
scenario_0212,0.5,Line 06 - 11.ElmLne,50,0.15,1.7668717000051402
scenario_0213,0.5,Line 06 - 11.ElmLne,50,0.18,1.7058317999981227
scenario_0214,0.5,Line 06 - 11.ElmLne,50,0.2,1.7221814000004088
scenario_0215,0.5,Line 06 - 11.ElmLne,50,0.25,3.079088699996646
scenario_0216,0.5,Line 06 - 11.ElmLne,80,0.1,1.6798024999952759
scenario_0217,0.5,Line 06 - 11.ElmLne,80,0.15,1.7482252000045264
scenario_0218,0.5,Line 06 - 11.ElmLne,80,0.18,1.755459100000735
scenario_0219,0.5,Line 06 - 11.ElmLne,80,0.2,1.7503303000048618
scenario_0220,0.5,Line 06 - 11.ElmLne,80,0.25,3.2086970999953337
scenario_0221,0.5,Line 07 - 08.ElmLne,0,0.1,1.7164811999973608
scenario_0222,0.5,Line 07 - 08.ElmLne,0,0.15,1.7304484999986016
scenario_0223,0.5,Line 07 - 08.ElmLne,0,0.18,1.7085801000066567
scenario_0224,0.5,Line 07 - 08.ElmLne,0,0.2,1.787551399997028
scenario_0225,0.5,Line 07 - 08.ElmLne,0,0.25,1.8505313999994542
scenario_0226,0.5,Line 07 - 08.ElmLne,20,0.1,1.7134630999935325
scenario_0227,0.5,Line 07 - 08.ElmLne,20,0.15,1.7671896000028937
scenario_0228,0.5,Line 07 - 08.ElmLne,20,0.18,1.7340480999991996
scenario_0229,0.5,Line 07 - 08.ElmLne,20,0.2,1.753966299998865
scenario_0230,0.5,Line 07 - 08.ElmLne,20,0.25,1.7786555999991833
scenario_0231,0.5,Line 07 - 08.ElmLne,50,0.1,1.7321933999992325
scenario_0232,0.5,Line 07 - 08.ElmLne,50,0.15,1.720539900001313
scenario_0233,0.5,Line 07 - 08.ElmLne,50,0.18,1.7461412000047858
scenario_0234,0.5,Line 07 - 08.ElmLne,50,0.2,1.749266600003466
scenario_0235,0.5,Line 07 - 08.ElmLne,50,0.25,1.8004097000011825
scenario_0236,0.5,Line 07 - 08.ElmLne,80,0.1,1.7221043999961694
scenario_0237,0.5,Line 07 - 08.ElmLne,80,0.15,1.6999683000030927
scenario_0238,0.5,Line 07 - 08.ElmLne,80,0.18,1.7483811999991303
scenario_0239,0.5,Line 07 - 08.ElmLne,80,0.2,1.7998213000028045
scenario_0240,0.5,Line 07 - 08.ElmLne,80,0.25,1.7494415000037407
scenario_0241,0.5,Line 08 - 09.ElmLne,0,0.1,1.7427755000026082
scenario_0242,0.5,Line 08 - 09.ElmLne,0,0.15,1.6836123999964911
scenario_0243,0.5,Line 08 - 09.ElmLne,0,0.18,1.7708016999968095
scenario_0244,0.5,Line 08 - 09.ElmLne,0,0.2,1.7648588000010932
scenario_0245,0.5,Line 08 - 09.ElmLne,0,0.25,1.7447945000021718
scenario_0246,0.5,Line 08 - 09.ElmLne,20,0.1,1.714846499999112
scenario_0247,0.5,Line 08 - 09.ElmLne,20,0.15,1.7243586999975378
scenario_0248,0.5,Line 08 - 09.ElmLne,20,0.18,1.7211199999946984
scenario_0249,0.5,Line 08 - 09.ElmLne,20,0.2,1.7374688000054448
scenario_0250,0.5,Line 08 - 09.ElmLne,20,0.25,1.7631412999980967
scenario_0251,0.5,Line 08 - 09.ElmLne,50,0.1,1.7027803000019048
scenario_0252,0.5,Line 08 - 09.ElmLne,50,0.15,1.717464099994686
scenario_0253,0.5,Line 08 - 09.ElmLne,50,0.18,1.7195331000039005
scenario_0254,0.5,Line 08 - 09.ElmLne,50,0.2,1.766359499997634
scenario_0255,0.5,Line 08 - 09.ElmLne,50,0.25,1.7621531000040704
scenario_0256,0.5,Line 08 - 09.ElmLne,80,0.1,1.6983857000013813
scenario_0257,0.5,Line 08 - 09.ElmLne,80,0.15,1.7238747000010335
scenario_0258,0.5,Line 08 - 09.ElmLne,80,0.18,1.816278099999181
scenario_0259,0.5,Line 08 - 09.ElmLne,80,0.2,1.8312656999987666
scenario_0260,0.5,Line 08 - 09.ElmLne,80,0.25,1.850292499999341
scenario_0261,0.5,Line 09 - 39.ElmLne,0,0.1,1.736720000000787
scenario_0262,0.5,Line 09 - 39.ElmLne,0,0.15,1.7280899999968824
scenario_0263,0.5,Line 09 - 39.ElmLne,0,0.18,1.7376632999948924
scenario_0264,0.5,Line 09 - 39.ElmLne,0,0.2,1.71659009999712
scenario_0265,0.5,Line 09 - 39.ElmLne,0,0.25,1.7941972999979043
scenario_0266,0.5,Line 09 - 39.ElmLne,20,0.1,1.7361476000005496
scenario_0267,0.5,Line 09 - 39.ElmLne,20,0.15,1.7485964000006788
scenario_0268,0.5,Line 09 - 39.ElmLne,20,0.18,1.7116137999983039
scenario_0269,0.5,Line 09 - 39.ElmLne,20,0.2,1.752385100000538
scenario_0270,0.5,Line 09 - 39.ElmLne,20,0.25,1.7181984999988344
scenario_0271,0.5,Line 09 - 39.ElmLne,50,0.1,1.676476000000548
scenario_0272,0.5,Line 09 - 39.ElmLne,50,0.15,1.7769141999960993
scenario_0273,0.5,Line 09 - 39.ElmLne,50,0.18,1.7158483000021079
scenario_0274,0.5,Line 09 - 39.ElmLne,50,0.2,1.7218143999998574
scenario_0275,0.5,Line 09 - 39.ElmLne,50,0.25,1.7501149000017904
scenario_0276,0.5,Line 09 - 39.ElmLne,80,0.1,1.7147661999988486
scenario_0277,0.5,Line 09 - 39.ElmLne,80,0.15,1.7415469999978086
scenario_0278,0.5,Line 09 - 39.ElmLne,80,0.18,1.7180401999939932
scenario_0279,0.5,Line 09 - 39.ElmLne,80,0.2,1.7054197999968892
scenario_0280,0.5,Line 09 - 39.ElmLne,80,0.25,1.7903600999998162
scenario_0281,0.5,Line 10 - 11.ElmLne,0,0.1,1.7032906000022194
scenario_0282,0.5,Line 10 - 11.ElmLne,0,0.15,1.7585745999967912
scenario_0283,0.5,Line 10 - 11.ElmLne,0,0.18,1.7810411999962525
scenario_0284,0.5,Line 10 - 11.ElmLne,0,0.2,1.7356190999998944
scenario_0285,0.5,Line 10 - 11.ElmLne,0,0.25,1.776848000001337
scenario_0286,0.5,Line 10 - 11.ElmLne,20,0.1,1.7475984000047902
scenario_0287,0.5,Line 10 - 11.ElmLne,20,0.15,1.7508288000026369
scenario_0288,0.5,Line 10 - 11.ElmLne,20,0.18,1.7496845999994548
scenario_0289,0.5,Line 10 - 11.ElmLne,20,0.2,1.7000031999996281
scenario_0290,0.5,Line 10 - 11.ElmLne,20,0.25,1.761673000000883
scenario_0291,0.5,Line 10 - 11.ElmLne,50,0.1,1.7521042000007583
scenario_0292,0.5,Line 10 - 11.ElmLne,50,0.15,1.7239563000039198
scenario_0293,0.5,Line 10 - 11.ElmLne,50,0.18,1.7405486999996356
scenario_0294,0.5,Line 10 - 11.ElmLne,50,0.2,1.7430834000042523
scenario_0295,0.5,Line 10 - 11.ElmLne,50,0.25,1.8120994999990216
scenario_0296,0.5,Line 10 - 11.ElmLne,80,0.1,1.7160252000030596
scenario_0297,0.5,Line 10 - 11.ElmLne,80,0.15,1.76097380000283
scenario_0298,0.5,Line 10 - 11.ElmLne,80,0.18,1.7426204999937909
scenario_0299,0.5,Line 10 - 11.ElmLne,80,0.2,1.7287894999972195
scenario_0300,0.5,Line 10 - 11.ElmLne,80,0.25,1.7686000000030617
scenario_0301,0.5,Line 10 - 13.ElmLne,0,0.1,1.7134882000027574
scenario_0302,0.5,Line 10 - 13.ElmLne,0,0.15,1.7354792000041925
scenario_0303,0.5,Line 10 - 13.ElmLne,0,0.18,1.7591356999982963
scenario_0304,0.5,Line 10 - 13.ElmLne,0,0.2,1.7539662000053795
scenario_0305,0.5,Line 10 - 13.ElmLne,0,0.25,1.761229399999138
scenario_0306,0.5,Line 10 - 13.ElmLne,20,0.1,1.805252300000575
scenario_0307,0.5,Line 10 - 13.ElmLne,20,0.15,1.7717556999996305
scenario_0308,0.5,Line 10 - 13.ElmLne,20,0.18,1.7240718000030029
scenario_0309,0.5,Line 10 - 13.ElmLne,20,0.2,1.7543202000015299
scenario_0310,0.5,Line 10 - 13.ElmLne,20,0.25,1.8053978999960236
scenario_0311,0.5,Line 10 - 13.ElmLne,50,0.1,1.7003975999978138
scenario_0312,0.5,Line 10 - 13.ElmLne,50,0.15,1.7325024999954621
scenario_0313,0.5,Line 10 - 13.ElmLne,50,0.18,1.7096669000020484
scenario_0314,0.5,Line 10 - 13.ElmLne,50,0.2,1.7486074999978882
scenario_0315,0.5,Line 10 - 13.ElmLne,50,0.25,1.772341800002323
scenario_0316,0.5,Line 10 - 13.ElmLne,80,0.1,1.7435522999949171
scenario_0317,0.5,Line 10 - 13.ElmLne,80,0.15,1.7660323999953107
scenario_0318,0.5,Line 10 - 13.ElmLne,80,0.18,1.750957299998845
scenario_0319,0.5,Line 10 - 13.ElmLne,80,0.2,1.7959809000021778
scenario_0320,0.5,Line 10 - 13.ElmLne,80,0.25,1.7866794000001391
scenario_0321,0.5,Line 13 - 14.ElmLne,0,0.1,1.7484171999967657
scenario_0322,0.5,Line 13 - 14.ElmLne,0,0.15,1.7466743999975733
